5.000000000000000000e+01,5.000000000000000000e+01,5.000000000000000000e+01,5.000000000000000000e+01
1.000000000000000000e+01,1.000000000000000000e+01,1.000000000000000000e+01,1.000000000000000000e+01
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01
2.000000000000000000e+01,1.000000000000000000e+01,1.000000000000000000e+01,2.000000000000000000e+01
4.166666666666666435e-02,1.388888888888888812e-02,1.388888888888888812e-02,1.388888888888888812e-02
2.000000000000000042e-02,9.000000000000000000e+01,9.000000000000000000e+01,2.000000000000000000e+01
4.000000000000000000e+01,1.320000000000000062e-01,1.000000000000000056e-01,1.869999999999999996e-01
1.000000000000000021e-02,4.000000000000000000e+01,2.000000000000000000e+00,4.329999999999999960e-01
1.000000000000000000e+06,7.599999999999999811e-02,4.000000000000000000e+01,4.000000000000000000e+01
2.999999999999999889e-01,1.390000000000000124e-01,7.599999999999999811e-02,1.229999999999999982e-01
0.000000000000000000e+00,0.000000000000000000e+00,5.299999999999999850e-02,2.640000000000000124e-01
0.000000000000000000e+00,0.000000000000000000e+00,6.000000000000000000e+00,0.000000000000000000e+00
